Hello, node 2, message 27690, msg time 1599887144, tx time 404 ms, battery 357 v, temp 1753 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60851/1770
Hello, node 2, message 27691, msg time 1599887165, tx time 402 ms, battery 357 v, temp 1754 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60852/1770
Hello, node 2, message 27692, msg time 1599887186, tx time 404 ms, battery 356 v, temp 1756 C, humidity 7801 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60853/1770
Hello, node 2, message 27693, msg time 1599887207, tx time 403 ms, battery 357 v, temp 1758 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60854/1770
Hello, node 2, message 27694, msg time 1599887228, tx time 403 ms, battery 357 v, temp 1760 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60855/1770
Hello, node 2, message 27695, msg time 1599887249, tx time 404 ms, battery 357 v, temp 1760 C, humidity 7799 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60856/1770
Hello, node 2, message 27696, msg time 1599887270, tx time 402 ms, battery 357 v, temp 1762 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60857/1770
Hello, node 2, message 27697, msg time 1599887291, tx time 404 ms, battery 357 v, temp 1764 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60858/1770
Hello, node 2, message 27698, msg time 1599887312, tx time 403 ms, battery 357 v, temp 1766 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60859/1770
Hello, node 2, message 27699, msg time 1599887333, tx time 402 ms, battery 357 v, temp 1766 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60860/1770
Hello, node 2, message 27700, msg time 1599887354, tx time 404 ms, battery 357 v, temp 1767 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60861/1770
Hello, node 2, message 27701, msg time 1599887375, tx time 403 ms, battery 357 v, temp 1769 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60862/1770
Hello, node 2, message 27702, msg time 1599887396, tx time 402 ms, battery 356 v, temp 1770 C, humidity 7804 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60863/1770
Hello, node 2, message 27703, msg time 1599887417, tx time 404 ms, battery 357 v, temp 1773 C, humidity 7805 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60864/1770
Hello, node 2, message 27704, msg time 1599887438, tx time 403 ms, battery 357 v, temp 1773 C, humidity 7803 %, status 0x00, RSSI -90 dBm, SNR 9 dB, good/bad packets: 60865/1770
Hello, node 2, message 27705, msg time 1599887459, tx time 402 ms, battery 357 v, temp 1776 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60866/1770
Hello, node 2, message 27706, msg time 1599887480, tx time 403 ms, battery 357 v, temp 1778 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60867/1770
